date,set,index,item-name,category,flipkart-link,flipkart-price,flipkart-discounted-price,flipkart-rating,flipkart-total-ratings
30/09/2022,AM,1,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.flipkart.com/samsung-galaxy-m13-aqua-green-64-gb/p/itm8d54b8d7bc9ce?pid=MOBGGHC2FJUSTVJH&lid=LSTMOBGGHC2FJUSTVJHPYEVB0&marketplace=FLIPKART&q=Samsung+Galaxy+M13+%28Aqua+Green%2C+4GB%2C+64GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+8GB+RAM+with+RAM+Plus&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=d3a3b397-7f8c-4800-88b0-2fba2e250d58.MOBGGHC2FJUSTVJH.SEARCH&ppt=hp&ppn=homepage&ssid=yiyx3aeev40000001664484303556&qH=ba0d64a11783c961,4.2,"₹10,632","₹25,999",163
30/09/2022,AM,2,"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12",All Mobile Phones,https://www.flipkart.com/redmi-a1-black-32-gb/p/itmc25a41ed1907d?pid=MOBGHWHQXCU8APFT&lid=LSTMOBGHWHQXCU8APFT42UMXJ&marketplace=FLIPKART&q=Redmi+A1+%28Black%2C+2GB+RAM%2C+32GB+Storage%29+%7C+Helio+A22+%7C+5000+mAh+Battery+%7C+8MP+AI+Dual+Cam+%7C+Leather+Texture+Design+%7C+Android+12&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=42fe58f4-9293-481d-bb48-d96fa5f83cd4.MOBGHWHQXCU8APFT.SEARCH&ppt=sp&ppn=sp&ssid=364izt2f8w0000001664484306659&qH=b8dcfd3818bfe7a5,4.3,"₹6,732","₹9,990",9
30/09/2022,AM,3,"Redmi 10A (Slate Grey, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster",All Mobile Phones,https://www.flipkart.com/redmi-10a-slate-grey-64-gb/p/itm755830dd54ae1?pid=MOBGDRGV2UAGZYZG&lid=LSTMOBGDRGV2UAGZYZGY9HL1W&marketplace=FLIPKART&q=Redmi+10A+%28Slate+Grey%2C+4GB+RAM%2C+64GB+Storage%29+%7C+2+Ghz+Octa+Core+Helio+G25+%7C+5000+mAh+Battery+%7C+Finger+Print+Sensor+%7C+Upto+5GB+RAM+with+RAM+Booster&store=tyy&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=641324ba-1b8e-4dc9-acd3-549e7e417eed.MOBGDRGV2UAGZYZG.SEARCH&ppt=sp&ppn=sp&ssid=0ymtshn8wg0000001664484309892&qH=d506a12deb9b3185,4.1,"₹8,743","₹11,999","2,556"
30/09/2022,AM,4,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.flipkart.com/samsung-galaxy-m13-midnight-blue-64-gb/p/itme9d85574c16d5?pid=MOBGGHC2BA4ZN3S5&lid=LSTMOBGGHC2BA4ZN3S5MD0LUJ&marketplace=FLIPKART&q=Samsung+Galaxy+M13+%28Midnight+Blue%2C+4GB%2C+64GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+8GB+RAM+with+RAM+Plus&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2316571e-dce5-446b-966c-9a6347c6e6d5.MOBGGHC2BA4ZN3S5.SEARCH&ppt=sp&ppn=sp&ssid=77dygt0dqo0000001664484313075&qH=98bdbe7b55a9466a,4.2,"₹10,864","₹14,999",163
30/09/2022,AM,5,Samsung Galaxy Tab A8 26.69cm (10.5 inch) Display,Tablets,https://www.flipkart.com/case-u-edge-tempered-glass-samsung-galaxy-tab-10-1-inch/p/itm1c41425ebd297?pid=ACCFHQP9HBCD2HAW&lid=LSTACCFHQP9HBCD2HAWNBVK2A&marketplace=FLIPKART&q=Samsung+Galaxy+Tab+A8+26.69cm+%2810.5+inch%29+Display&store=tyy&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=a9beb147-41a1-471a-93c0-a5992f3dea6d.ACCFHQP9HBCD2HAW.SEARCH&ppt=sp&ppn=sp&ssid=n904kw6ts00000001664484316233&qH=61683bf39cb8705c,4.3,₹239,"₹1,999",(69)
30/09/2022,AM,6,"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.flipkart.com/apple-watch-se-gps-cellular-40mm-space-grey-aluminium-case-midnight-sport-band/p/itm5efeb824ee2ca?pid=SMWG6VNREXJKMZH2&lid=LSTSMWG6VNREXJKMZH2MONEXS&marketplace=FLIPKART&q=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+40mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=3781e0c8-e86c-4b06-b2bd-0be3c82c73d6.SMWG6VNREXJKMZH2.SEARCH&ppt=sp&ppn=sp&ssid=i163ftzypc0000001664484319423&qH=6ec3b3da230fca34,4.6,"₹31,899","₹33,900","2,801"
30/09/2022,AM,8,"Apple Watch SE (GPS + Cellular, 44mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.flipkart.com/apple-watch-se-gps-cellular-44mm-space-grey-aluminium-case-midnight-sport-band/p/itmcacfa110e2533?pid=SMWG6VNRH5XAEY6X&lid=LSTSMWG6VNRH5XAEY6XC1FYMH&marketplace=FLIPKART&q=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+44mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=5c3dce69-d82e-48bd-bc8d-fc1a0f57d613.SMWG6VNRH5XAEY6X.SEARCH&ppt=sp&ppn=sp&ssid=awkkjwvb280000001664484322688&qH=91a32374347b4a5a,4.6,"₹32,899","₹36,900","2,801"
30/09/2022,AM,9,"Amazfit GTS 4 Mini Smart Watch, Alexa Built-in Fitness Tracker with 24H Heart Rate Blood Oxygen Monitor, 5 Satellite Positioning, 120+ Sports Modes, 5 ATM Waterproof (Midnight Black)",Tablets,https://www.flipkart.com/amazfit-bip-3-pro-1-69-inch-large-color-display-built-in-gps-smartwatch/p/itmab8977a79512e?pid=SMWGFAYAKZZHPGT9&lid=LSTSMWGFAYAKZZHPGT9ZJ7LGN&marketplace=FLIPKART&q=Amazfit+GTS+4+Mini+Smart+Watch%2C+Alexa+Built-in+Fitness+Tracker+with+24H+Heart+Rate+Blood+Oxygen+Monitor%2C+5+Satellite+Positioning%2C+120%2B+Sports+Modes%2C+5+ATM+Waterproof+%28Midnight+Black%29&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=9383a96f-876e-42d1-aaa7-8154fcb7ede9.SMWGFAYAKZZHPGT9.SEARCH&ppt=sp&ppn=sp&ssid=tkahdc6hrk0000001664484325902&qH=a1e5a2f02d981e1b,4.7,"₹3,699","₹5,999",9
30/09/2022,AM,10,"Samsung Galaxy Watch4 Bluetooth(4.4 cm, Black, Compatible with Android only)",Tablets,https://www.flipkart.com/amazfit-bip-3-pro-1-69-inch-large-color-display-built-in-gps-smartwatch/p/itmab8977a79512e?pid=SMWGFAYAKZZHPGT9&lid=LSTSMWGFAYAKZZHPGT9ZJ7LGN&marketplace=FLIPKART&q=Amazfit+GTS+4+Mini+Smart+Watch%2C+Alexa+Built-in+Fitness+Tracker+with+24H+Heart+Rate+Blood+Oxygen+Monitor%2C+5+Satellite+Positioning%2C+120%2B+Sports+Modes%2C+5+ATM+Waterproof+%28Midnight+Black%29Samsung+Galaxy+Watch4+Bluetooth%284.4+cm%2C+Black%2C+Compatible+with+Android+only%29&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=0dee8974-fe99-448c-803b-d7073ce23f21.SMWGFAYAKZZHPGT9.SEARCH&ppt=sp&ppn=sp&ssid=6j5j5guzvk0000001664484329079&qH=496a6f37aa88754d,4.7,"₹3,699","₹5,999",(9)
30/09/2022,AM,12,boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),All Computers & Accessories,https://www.flipkart.com/boat-bassheads-100-wired-headset/p/itme346ff4c6846f?pid=ACCEVQZABYWJHRHF&lid=LSTACCEVQZABYWJHRHFWJJUZQ&marketplace=FLIPKART&q=boAt+Bassheads+100+in+Ear+Wired+Earphones+with+Mic%28Black%29&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=cedb2b48-6fcb-47f9-ad7e-ff1836f62a86.ACCEVQZABYWJHRHF.SEARCH&ppt=sp&ppn=sp&ssid=l6ithpenbk0000001664484332226&qH=20d2a6f878cac2f8,4.3,₹279,₹999,"(12,27,915)"
