date,set,index,item-name,category,flipkart-link,flipkart-price,flipkart-discounted-price,flipkart-rating,flipkart-total-ratings
20_10_2022,AM,1,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.flipkart.com/samsung-galaxy-m13-aqua-green-64-gb/p/itm8d54b8d7bc9ce?pid=MOBGGHC2FJUSTVJH&lid=LSTMOBGGHC2FJUSTVJHRQW5MP&marketplace=FLIPKART&q=Samsung+Galaxy+M13+%28Aqua+Green%2C+4GB%2C+64GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+8GB+RAM+with+RAM+Plus&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=21d8ad35-1702-4247-bc6e-6b6636a3d3f4.MOBGGHC2FJUSTVJH.SEARCH&ppt=hp&ppn=homepage&ssid=kugl308c740000001664950016814&qH=ba0d64a11783c961,4.2,"₹10,352","₹25,999",166
20_10_2022,AM,2,"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12",All Mobile Phones,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGHH9FVUHCFHTY&lid=LSTMOBGHH9FVUHCFHTY0HZIMA&marketplace=FLIPKART&q=Redmi+A1+%28Black%2C+2GB+RAM%2C+32GB+Storage%29+%7C+Helio+A22+%7C+5000+mAh+Battery+%7C+8MP+AI+Dual+Cam+%7C+Leather+Texture+Design+%7C+Android+12&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=60985b86-7927-4085-ae97-b5b9bc046163.MOBGHH9FVUHCFHTY.SEARCH&ppt=sp&ppn=sp&ssid=vdexub5n0g0000001664950019955&qH=b8dcfd3818bfe7a5,4.4,"₹19,999","₹9,999","22,030"
20_10_2022,AM,4,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGHH9FVUHCFHTY&lid=LSTMOBGHH9FVUHCFHTY0HZIMA&marketplace=FLIPKART&q=Redmi+A1+%28Black%2C+2GB+RAM%2C+32GB+Storage%29+%7C+Helio+A22+%7C+5000+mAh+Battery+%7C+8MP+AI+Dual+Cam+%7C+Leather+Texture+Design+%7C+Android+12Samsung+Galaxy+M13+%28Midnight+Blue%2C+4GB%2C+64GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+8GB+RAM+with+RAM+Plus&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=63eaa926-55d4-4300-a8c7-304df4f13501.MOBGHH9FVUHCFHTY.SEARCH&ppt=sp&ppn=sp&ssid=mrb7psr8280000001664950023122&qH=02cc248936af6d8d,4.4,"₹19,999","₹9,999","22,030"
20_10_2022,AM,5,Samsung Galaxy Tab A8 26.69cm (10.5 inch) Display,Tablets,https://www.flipkart.com/case-u-edge-tempered-glass-samsung-galaxy-tab-10-1-inch/p/itm1c41425ebd297?pid=ACCFHQP9HBCD2HAW&lid=LSTACCFHQP9HBCD2HAWNBVK2A&marketplace=FLIPKART&q=Samsung+Galaxy+Tab+A8+26.69cm+%2810.5+inch%29+Display&store=tyy&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=38ce29c7-4d9e-4e05-841a-5eba091755d3.ACCFHQP9HBCD2HAW.SEARCH&ppt=sp&ppn=sp&ssid=tq4gsfd59c0000001664950026267&qH=61683bf39cb8705c,4.3,₹215,"₹1,999",(529)
20_10_2022,AM,6,"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.flipkart.com/apple-watch-se-gps-cellular-40mm-space-grey-aluminium-case-midnight-sport-band/p/itm5efeb824ee2ca?pid=SMWG6VNREXJKMZH2&lid=LSTSMWG6VNREXJKMZH2MONEXS&marketplace=FLIPKART&q=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+40mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=b91dc832-b8e4-46bd-8825-5a53e674aa62.SMWG6VNREXJKMZH2.SEARCH&ppt=sp&ppn=sp&ssid=buxceb39m80000001664950029453&qH=6ec3b3da230fca34,4.6,"₹28,899","₹33,900","2,997"
20_10_2022,AM,8,"Apple Watch SE (GPS + Cellular, 44mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.flipkart.com/apple-watch-se-gps-cellular-44mm-space-grey-aluminium-case-midnight-sport-band/p/itmcacfa110e2533?pid=SMWG6VNRH5XAEY6X&lid=LSTSMWG6VNRH5XAEY6XC1FYMH&marketplace=FLIPKART&q=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+44mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=b6019d29-294d-4cce-af63-5700400264ee.SMWG6VNRH5XAEY6X.SEARCH&ppt=sp&ppn=sp&ssid=u81ykjt3g00000001664950032644&qH=91a32374347b4a5a,4.6,"₹30,899","₹36,900","2,997"
20_10_2022,AM,9,"Amazfit GTS 4 Mini Smart Watch, Alexa Built-in Fitness Tracker with 24H Heart Rate Blood Oxygen Monitor, 5 Satellite Positioning, 120+ Sports Modes, 5 ATM Waterproof (Midnight Black)",Tablets,https://www.flipkart.com/amazfit-bip-3-pro-1-69-inch-large-color-display-built-in-gps-smartwatch/p/itmab8977a79512e?pid=SMWGFAYEVDTDXWJE&lid=LSTSMWGFAYEVDTDXWJEKBWHDH&marketplace=FLIPKART&q=Amazfit+GTS+4+Mini+Smart+Watch%2C+Alexa+Built-in+Fitness+Tracker+with+24H+Heart+Rate+Blood+Oxygen+Monitor%2C+5+Satellite+Positioning%2C+120%2B+Sports+Modes%2C+5+ATM+Waterproof+%28Midnight+Black%29&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=7848c1b0-fdec-4093-8db9-775722d4d03c.SMWGFAYEVDTDXWJE.SEARCH&ppt=sp&ppn=sp&ssid=6nw2a6pv3k0000001664950035890&qH=a1e5a2f02d981e1b,4.1,"₹3,699","₹5,999",161
20_10_2022,AM,17,"ASUS Vivobook 15, 15.6"" (39.62 cm) FHD, AMD Dual Core Ryzen 3 3200U, Thin and Light Laptop (8GB/256GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.68 Kg), X512DA-BQ301WS",Laptops,https://www.flipkart.com/asus-vivobook-15-ryzen-3-dual-core-amd-r3-3250u-4-gb-256-gb-ssd-windows-10-home-m515da-bq312ts-thin-light-laptop/p/itmf27eace19ae11?pid=COMG2DBSMFDZTE9F&lid=LSTCOMG2DBSMFDZTE9FNDKXIK&marketplace=FLIPKART&q=ASUS+Vivobook+15%2C+15.6+%2839.62+cm%29+FHD%2C+AMD+Dual+Core+Ryzen+3+3200U%2C+Thin+and+Light+Laptop+%288GB%2F256GB+SSD%2FIntegrated+Graphics%2FWindows+11%2FOffice+2021%2FSilver%2F1.68+Kg%29%2C+X512DA-BQ301WS&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=8dc976bf-7f80-4624-83a1-599e607daffe.COMG2DBSMFDZTE9F.SEARCH&ppt=sp&ppn=sp&ssid=7arkyaqfdc0000001664950039085&qH=06bb6bbd92761d7c,4.3,"₹31,890","₹42,990","1,628"
20_10_2022,AM,18,"Honor MagicBook X 15, Intel Core i3-10110U / 15.6 inch (39.62 cm) Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 10/Aluminium Metal Body/1.56Kg), Silver/Gray,(BohrBR-WAI9A)",Laptops,https://www.flipkart.com/asus-vivobook-15-core-i5-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-x515ep-bq512ts-thin-light-laptop/p/itmef3c860554442?pid=COMG798RNM8SMKFD&lid=LSTCOMG798RNM8SMKFDOHSVRM&marketplace=FLIPKART&q=Honor+MagicBook+X+15%2C+Intel+Core+i3-10110U+%2F+15.6+inch+%2839.62+cm%29+Thin+and+Light+Laptop+%288GB%2F256GB+PCIe+SSD%2FWindows+10%2FAluminium+Metal+Body%2F1.56Kg%29%2C+Silver%2FGray%2C%28BohrBR-WAI9A%29&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=e25c4f08-daf2-439f-b3ac-8097f0c60af7.COMG798RNM8SMKFD.SEARCH&ppt=sp&ppn=sp&ssid=08unqst9xs0000001664950042280&qH=57be3628284e9569,4.4,"₹52,890","₹78,990",60
20_10_2022,AM,19,"HP 14s, AMD Ryzen 5-5500U 14 inches(35cm) FHD, IPS, Micro-Edge Display Laptop (8GB RAM/512GB SSD /Radeon Graphics/Windows 11/Alexa/Backlit Keyboard/MS Office/1.46kg, 14s-fq1092au)",Laptops,https://www.flipkart.com/hp-14s-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-10-home-14s-fq1030au-thin-light-laptop/p/itm7ba3407b2b68c?pid=COMG24PXDNBHZCHG&lid=LSTCOMG24PXDNBHZCHG9NIB0P&marketplace=FLIPKART&q=HP+14s%2C+AMD+Ryzen+5-5500U+14+inches%2835cm%29+FHD%2C+IPS%2C+Micro-Edge+Display+Laptop+%288GB+RAM%2F512GB+SSD+%2FRadeon+Graphics%2FWindows+11%2FAlexa%2FBacklit+Keyboard%2FMS+Office%2F1.46kg%2C+14s-fq1092au%29&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=97460b38-edd4-41b1-917e-7f8ec6dc8279.COMG24PXDNBHZCHG.SEARCH&ppt=sp&ppn=sp&ssid=8iloyt12ts0000001664950045460&qH=46b4cad8ff419790,4.4,"₹54,890","₹58,657",780
20_10_2022,AM,20,"HP 15s, 12th Gen Intel Core i5 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Touch Laptop/Intel Iris Xe Graphics/Alexa/Dual Speakers/Win 11/MSO 2021/1.41 Kg, 15s- fq5111TU",Laptops,https://www.flipkart.com/hp-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5010tu-thin-light-laptop/p/itmcf9fcb30bb8d3?pid=COMGEG3ZCAGPJDYG&lid=LSTCOMGEG3ZCAGPJDYGUF2HJH&marketplace=FLIPKART&q=HP+15s%2C+12th+Gen+Intel+Core+i5+8GB+RAM%2F512GB+SSD+15.6-inch%2839.6+cm%29+Micro-Edge+Anti-Glare+FHD+Touch+Laptop%2FIntel+Iris+Xe+Graphics%2FAlexa%2FDual+Speakers%2FWin+11%2FMSO+2021%2F1.41+Kg%2C+15s-+fq5111TU&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=8b863421-be4c-4da7-a92d-ee1c7372c122.COMGEG3ZCAGPJDYG.SEARCH&ppt=sp&ppn=sp&ssid=x5px94ubv40000001664950048706&qH=59a115020b1cb562,4.3,"₹58,890","₹68,465",301
20_10_2022,AM,21,Mi 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Televisions,https://www.flipkart.com/mi-5a-80-cm-32-inch-hd-ready-led-smart-android-tv-dolby-audio-2022-model/p/itm98501ffa297ba?pid=TVSGD5CS2SDUUZGN&lid=LSTTVSGD5CS2SDUUZGNWGZUUA&marketplace=FLIPKART&q=Mi+80+cm+%2832+inches%29+5A+Series+HD+Ready+Smart+Android+LED+TV+L32M7-5AIN+%28Black%29&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=5570bfca-aa4c-4bc9-a3ad-2dfd1ce71dfb.TVSGD5CS2SDUUZGN.SEARCH&ppt=sp&ppn=sp&ssid=t1t10mkdls0000001664950051882&qH=11e4e2694c73a17d,4.4,"₹12,999","₹24,999","3,03,019"
