date,set,item-name,category,amazon-link,amazon-price,amazon-discounted-price,amazon-discount-percent,amazon-rating,amazon-total-ratings
29/09/2022,2,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),Televisions,https://www.amazon.in/OnePlus-43-inches-Android-Pro/dp/B09VCHLSJF/ref=lp_1389396031_1_6,"26,999.00","13,000.00",33,4.3,"3,703"
29/09/2022,2,"boAt Airdopes 141 True Wireless Earbuds with 42H Playtime, Beast™ Mode(Low Latency Upto 80ms) for Gaming, ENx™ Tech, ASAP™ Charge, IWP™, IPX4 Water Resistance, Smooth Touch Controls(Cider Cyan)",Headphones,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=lp_1388921031_1_3,999.00,"3,491.00",78,3.9,"97,210"
29/09/2022,2,"Echo Dot (4th Gen, 2020 release) with clock | Next generation smart speaker with powerful bass, LED display and Alexa (Blue)",Speakers,https://www.amazon.in/All-new-Echo-Dot-with-clock/dp/B085M5R82K/ref=lp_1389365031_1_2,"2,949","2,550",46,4.4,"11,843"
29/09/2022,2,"Mivi Play Bluetooth Speaker with 12 Hours Playtime. Wireless Speaker Made in India with Exceptional Sound Quality, Portable and Built in Mic-Black",Speakers,https://www.amazon.in/Mivi-Bluetooth-Playtime-Exceptional-Mic-Black/dp/B094RCC4L1/ref=lp_1389365031_1_7,598,"1,401",70,4.2,"17,709"
29/09/2022,2,"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Black)",Speakers,https://www.amazon.in/Zebronics-Zeb-County-Bluetooth-Speaker-Function/dp/B07YNV41FT/ref=lp_1389365031_1_9,498.00,501.00,50,3.9,"61,049"
29/09/2022,2,"Sony Alpha ILCE-7M4K Full-Frame Hybrid Camera 33MP Interchangeable-Lens Mirrorless Camera with 28-70mm Digital Zoom Lens (4K 60P Video Recording, Real-Time Eye AF for Humans, Birds, Animals) - Black",DSLR Cameras,https://www.amazon.in/Sony-ILCE-7M4K-Full-Frame-Interchangeable-Lens-Mirrorless/dp/B09SB2P8J5/ref=lp_1389177031_1_9,"2,30,488","32,002",12,4.3,20
29/09/2022,2,Nikon Digital Camera Z 30 kit with NIKKOR Z DX 16-50mm f/3.5-6.3 VR - Black,DSLR Cameras,https://www.amazon.in/Nikon-Digital-Camera-16-50mm-3-5-6-3/dp/B0B695C86Z/ref=lp_1389177031_1_10?smid=A14CZOWI0VEHLG,"65,790","7,705",10,4.4,6
29/09/2022,2,"PowerA Enhanced Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Red (Officially Licensed)",Gaming Consoles,https://www.amazon.in/PowerA-Enhanced-Controller-Officially-Licensed/dp/B08F44M292/ref=lp_4092115031_1_4,"3,149.00","1,850.00",37,4.3,"4,794"
29/09/2022,2,"LG 7 Kg 5 Star Inverter Touch Control Fully-Automatic Front Load Washing Machine with Heater (FHM1207SDL, Silver, 6 Motion Direct Drive)",Washing Machines,https://www.amazon.in/LG-Inverter-Control-Fully-Automatic-FHM1207SDL/dp/B09LM39YR9/ref=lp_1380369031_1_6,"28,990","18,000",38,4.4,"1,743"
29/09/2022,2,"IFB 7 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (NEO DIVA BXS 7010, White & Black, Active Color Protection, Hard Water Wash)",Washing Machines,https://www.amazon.in/IFB-NEO-DIVA-BXS-7010/dp/B0B38Q299B/ref=lp_1380369031_1_12,"28,990","6,500",18,4.3,"1,610"
29/09/2022,2,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",Kitchen & Home Appliances,https://www.amazon.in/Bajaj-Majesty-1000-Watt-Iron-White/dp/B01C8P29N0/ref=lp_4951860031_1_8,549.00,721.00,57,4.2,"20,877"
29/09/2022,2,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",Kitchen & Home Appliances,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/dp/B00HVXS7WC/ref=lp_4951860031_1_10,"1,798","1,432",44,4.2,"39,194"
29/09/2022,2,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),Kitchen & Home Appliances,https://www.amazon.in/Philips-GC1905-1440-Watt-Steam-Spray/dp/B008QTK47Q/ref=lp_4951860031_1_12,"1,388.00",707.00,34,4.3,"35,590"
